researcher_name,institution,study_species,individual_ID,sex,age,origin,strain,condition,trial_day,latency_swim_freely,timespent_contact,timespent_active,nb_dart/startle,distance_no,latency_approach_no,latency_touch_no,length_experimental_tank,width_experimental_tank,water_depth,luminosity,photoperiod,water_temperature,salinity,pH,background_colour,housing_conditions,housing_social
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,A,N/A,Adult,Wild-caught,,10,1,67.53,22.48,503.91,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,A,N/A,Adult,Wild-caught,,10|1,1,N/A,0,54.09,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,A,N/A,Adult,Wild-caught,,10,2,0.72,4.33,588.54,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,A,N/A,Adult,Wild-caught,,10|1,2,N/A,0,59.89,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,A,N/A,Adult,Wild-caught,,10,3,0.87,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,A,N/A,Adult,Wild-caught,,10,4,4.75,50.95,379.34,0,11.25,37.23,38.39,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,A,N/A,Adult,Wild-caught,,10|1,4,N/A,2.99,60,0,11.25,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,B,N/A,Adult,Wild-caught,,30,1,6.62,446.22,1359.98,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,B,N/A,Adult,Wild-caught,,30f10,1,6.62,384.12,228.17,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,B,N/A,Adult,Wild-caught,,30|1,1,N/A,1.15,54.44,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,B,N/A,Adult,Wild-caught,,30,2,21.06,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,B,N/A,Adult,Wild-caught,,30f10,2,21.06,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,B,N/A,Adult,Wild-caught,,30,3,106.9,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,B,N/A,Adult,Wild-caught,,30f10,3,106.9,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,B,N/A,Adult,Wild-caught,,30,4,3.21,135.76,434.43,0,11.25,39.46,Did not touch,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,B,N/A,Adult,Wild-caught,,30f10,4,3.21,135.76,434.43,0,11.25,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,B,N/A,Adult,Wild-caught,,30|1,4,N/A,3.65,56.45,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,D,N/A,Adult,Wild-caught,,30,1,11.12,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,D,N/A,Adult,Wild-caught,,30f10,1,11.12,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,D,N/A,Adult,Wild-caught,,30,2,7.74,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,D,N/A,Adult,Wild-caught,,30f10,2,7.74,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,D,N/A,Adult,Wild-caught,,30,3,0.88,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,D,N/A,Adult,Wild-caught,,30f10,3,0.88,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,D,N/A,Adult,Wild-caught,,30,4,0.47,N/A,N/A,N/A,11.25,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,D,N/A,Adult,Wild-caught,,30f10,4,0.47,N/A,N/A,N/A,11.25,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,E,N/A,Adult,Wild-caught,,10,1,0.32,87.97,436.4,3,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,E,N/A,Adult,Wild-caught,,10|1,1,N/A,10.53,60,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,E,N/A,Adult,Wild-caught,,10,2,17.74,53.09,519.28,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,E,N/A,Adult,Wild-caught,,10|1,2,N/A,9.06,56.23,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,E,N/A,Adult,Wild-caught,,10,3,2.21,84.77,573.09,1,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,E,N/A,Adult,Wild-caught,,10|1,3,N/A,8.52,60,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,E,N/A,Adult,Wild-caught,,10,4,4.47,N/A,N/A,0,11.25,95.06,104.58,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,F,N/A,Adult,Wild-caught,,30,1,50.23,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,F,N/A,Adult,Wild-caught,,30f10,1,50.23,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,F,N/A,Adult,Wild-caught,,30,2,3.02,283.94,1666.32,2,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,F,N/A,Adult,Wild-caught,,30f10,2,3.02,44.53,578.04,2,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,F,N/A,Adult,Wild-caught,,30|1,2,N/A,4.28,54.16,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,F,N/A,Adult,Wild-caught,,30,3,0.63,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,F,N/A,Adult,Wild-caught,,30f10,3,0.63,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,G,N/A,Adult,Wild-caught,,10,1,323.55,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,G,N/A,Adult,Wild-caught,,10,2,244.11,286.72,302.81,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,G,N/A,Adult,Wild-caught,,10|1,2,N/A,11.89,54.91,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,G,N/A,Adult,Wild-caught,,10,3,117.38,198.75,460.66,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,G,N/A,Adult,Wild-caught,,10|1,3,N/A,10.86,51.66,0,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,G,N/A,Adult,Wild-caught,,10,4,136.91,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,H,N/A,Adult,Wild-caught,,10,1,0.7,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,H,N/A,Adult,Wild-caught,,10,2,2.16,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,H,N/A,Adult,Wild-caught,,10,3,1.39,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,H,N/A,Adult,Wild-caught,,10,4,2.65,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,I,N/A,Adult,Wild-caught,,10,1,2.38,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,I,N/A,Adult,Wild-caught,,10,2,213.3,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,I,N/A,Adult,Wild-caught,,10,3,1.25,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,I,N/A,Adult,Wild-caught,,10,4,138.07,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,J,N/A,Adult,Wild-caught,,30,1,33.63,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,J,N/A,Adult,Wild-caught,,30,2,3.39,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,J,N/A,Adult,Wild-caught,,30,3,2.17,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,J,N/A,Adult,Wild-caught,,30,4,2.83,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,K,N/A,Adult,Wild-caught,,10,1,1.28,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,K,N/A,Adult,Wild-caught,,10,2,2.37,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,K,N/A,Adult,Wild-caught,,10,3,127.89,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,K,N/A,Adult,Wild-caught,,10,4,1.13,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,M,N/A,Adult,Wild-caught,,30,1,1.39,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,M,N/A,Adult,Wild-caught,,30,2,93.9,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,M,N/A,Adult,Wild-caught,,30,3,1.62,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,M,N/A,Adult,Wild-caught,,30,4,0.81,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,N,N/A,Adult,Wild-caught,,10,1,350.21,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,N,N/A,Adult,Wild-caught,,10,2,52.25,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,N,N/A,Adult,Wild-caught,,10,3,276.17,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,N,N/A,Adult,Wild-caught,,10,4,233.03,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,O,N/A,Adult,Wild-caught,,30,1,2.77,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,O,N/A,Adult,Wild-caught,,30,2,0.63,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,O,N/A,Adult,Wild-caught,,30,3,0.62,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,P,N/A,Adult,Wild-caught,,30,1,97.1,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,P,N/A,Adult,Wild-caught,,30,2,2.02,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,P,N/A,Adult,Wild-caught,,30,3,2.31,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,P,N/A,Adult,Wild-caught,,30,4,247.85,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,R,N/A,Adult,Wild-caught,,10,1,3.43,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,R,N/A,Adult,Wild-caught,,10,2,2.86,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,R,N/A,Adult,Wild-caught,,10,3,7.35,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,R,N/A,Adult,Wild-caught,,10,4,1.52,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,T,N/A,Adult,Wild-caught,,30,1,1.02,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,T,N/A,Adult,Wild-caught,,30,2,1.3,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,T,N/A,Adult,Wild-caught,,30,3,0.91,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
Melissa Ramsay/Li Veiros/Rebecca Gourlay,St Andrews,Gasterosteus aculeatus,T,N/A,Adult,Wild-caught,,30,4,2.59,N/A,N/A,N/A,N/A,N/A,N/A,30,15,14,500,12:12,10,0,7.5,White,"Gravel, filters, plants",1
